type,title,link,,,,,,,,,,,,,,,,,,
Portaria n.º 695/1997,Exigências relativas à saúde e segurança aplicáveis aos equipamentos de proteção individual,https://diariodarepublica.pt/dr/detalhe/portaria/695-1997-195211,,,,,,,,,,,,,,,,,,
Decreto-Lei n.º 236/2003,"Prescrições mínimas destinadas a promover a melhoria da proteção da segurança e da saúde dos trabalhadores suscetíveis de exposição a riscos derivados de atmosferas
 explosivas no local de trabalho",https://diariodarepublica.pt/dr/detalhe/decreto-lei/236-2003-483650,,,,,,,,,,,,,,,,,,
Decreto-Lei n.º 111-C/2017,Regras de segurança a que devem obedecer os aparelhos e sistemas de proteção destinados a ser utilizados em atmosferas potencialmente explosivas,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/2017-156968828,,,,,,,,,,,,,,,,,,
Decreto-Lei n.º 84/1997,Proteção da segurança e saúde dos trabalhadores contra os riscos resultantes da exposição a agentes biológicos durante o trabalho,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1997-150731524,,,,,,,,,,,,,,,,,,
Lei n.º 52/2018,Proteção da segurança e saúde dos trabalhadores contra os riscos resultantes da exposição a agentes biológicos durante o trabalho,https://diariodarepublica.pt/dr/legislacao-consolidada/lei/2018-116125843,,,,,,,,,,,,,,,,,,
Portaria nº 25/2021,Proteção da segurança e saúde dos trabalhadores contra os riscos resultantes da exposição a agentes biológicos durante o trabalho,https://diariodarepublica.pt/dr/legislacao-consolidada/portaria/2021-158240102,,,,,,,,,,,,,,,,,,
Decreto-Lei n.º 479/1985,Risco cancerígeno para os trabalhadores profissionalmente expostos,https://diariodarepublica.pt/dr/detalhe/decreto-lei/479-1985-171897,,,,,,,,,,,,,,,,,,
Decreto-Lei n.º 301/2000,Proteção dos trabalhadores contra os riscos ligados à exposição a agentes cancerígenos ou mutagénicos durante o trabalho,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/2000-137784327,,,,,,,,,,,,,,,,,,
Decreto-Lei n.º 24/2012,Prescrições mínimas em matéria de proteção dos trabalhadores contra os riscos para a segurança e a saúde devido à exposição a agentes químicos no trabalho,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/2012-115495237,,,,,,,,,,,,,,,,,,
Decreto-Lei n.º 266/2007,Proteção sanitária dos trabalhadores contra os riscos de exposição ao amianto durante o trabalho,https://diariodarepublica.pt/dr/detalhe/decreto-lei/266-2007-636752,,,,,,,,,,,,,,,,,,
Decreto-Lei n.º 220/2008,Regime jurídico da segurança contra incêndios em edifícios (SCIE),https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/2008-72828985,,,,,,,,,,,,,,,,,,
Lei n.º 123/2019,Regime jurídico da segurança contra incêndios em edifícios (SCIE),https://diariodarepublica.pt/dr/detalhe/lei/123-2019-125468543,,,,,,,,,,,,,,,,,,
Decreto-Lei n.º 224/2015,Regulamento técnico de segurança contra incêndio em edifícios (SCIE),https://diariodarepublica.pt/dr/detalhe/decreto-lei/224-2015-70497202,,,,,,,,,,,,,,,,,,
Portaria n.º 1532/2008,Regulamento técnico de segurança contra incêndio em edifícios (SCIE),https://diariodarepublica.pt/dr/legislacao-consolidada/portaria/2008-135056016,,,,,,,,,,,,,,,,,,
Portaria n.º 135/2020,Regulamento técnico de segurança contra incêndio em edifícios (SCIE),https://diariodarepublica.pt/dr/legislacao-consolidada/portaria/2020-134889344,,,,,,,,,,,,,,,,,,
Despacho n.º 2074/2009,Critérios técnicos para determinação da densidade de carga de incêndio modificada,https://diariodarepublica.pt/dr/detalhe/despacho/2074-2009-2152772,,,,,,,,,,,,,,,,,,
Decreto-Lei n.º 98/2010,"Regime a que obedece a classificação, embalagem e rotulagem das substâncias perigosas para a saúde humana ou para o ambiente, com vista à sua colocação no mercado",https://diariodarepublica.pt/dr/detalhe/decreto-lei/98-2010-343084,,,,,,,,,,,,,,,,,,
Decreto-Lei n.º 131/2019,Regulamento de Instalação e de Funcionamento de Recipientes sob Pressão Simples e de Equipamentos sob Pressão,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/2019-147412898,,,,,,,,,,,,,,,,,,
Decreto-Lei n.º 2/1982,Participação de doenças profissionais,https://diariodarepublica.pt/dr/detalhe/decreto-lei/2-1982-553389,,,,,,,,,,,,,,,,,,
Decreto-Lei n.º 106/2017,"Regula a recolha, publicação e divulgação da informação estatística sobre acidentes de trabalho",https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/2017-108200081,,,,,,,,,,,,,,,,,,
Portaria n.º 14/2018,Regula os modelos de participação relativa a acidentes de trabalho,https://diariodarepublica.pt/dr/detalhe/portaria/14-2018-114509690,,,,,,,,,,,,,,,,,,
Decreto Regulamentar n.º 6/2001,Lista das doenças profissionais e respetivo índice codificado,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-regulamentar/2001-223267475,,,,,,,,,,,,,,,,,,
Lei n.º 98/2009,Regime de reparação de acidentes de trabalho,https://diariodarepublica.pt/dr/legislacao-consolidada/lei/2009-58661980,,,,,,,,,,,,,,,,,,
Portaria n.º 256/2011,Apólice de seguro obrigatório de acidentes de trabalho para trabalhadores por conta de outrem,https://diariodarepublica.pt/dr/detalhe/portaria/256-2011-670511,,,,,,,,,,,,,,,,,,
Portaria n.º 37/1970,Primeiros socorros em acidentes pessoais produzidos por correntes elétricas,https://diariodarepublica.pt/dr/detalhe/portaria/37-1970-227043,,,,,,,,,,,,,,,,,,
Decreto-Lei n.º 103/2008,Colocação no mercado e a entrada em serviço das máquinas bem como a colocação no mercado das quase-máquinas,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/2008-107720290,,,,,,,,,,,,,,,,,,
Decreto-Lei n.º 214/1995,Condições de utilização e comercialização de máquinas usadas,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1995-156104130,,,,,,,,,,,,,,,,,,
Portaria n.º 172/2000,Máquinas usadas com especial perigosidade,https://diariodarepublica.pt/dr/detalhe/portaria/172-2000-508270,,,,,,,,,,,,,,,,,,
Decreto-Lei n.º 50/2005,Prescrições mínimas de segurança e de saúde para a utilização pelos trabalhadores de equipamentos de trabalho,https://diariodarepublica.pt/dr/detalhe/decreto-lei/50-2005-584397,,,,,,,,,,,,,,,,,,
Decreto-Lei n.º 226/2005,Regras técnicas das instalações elétricas de baixa tensão,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/2005-157031815,,,,,,,,,,,,,,,,,,
Portaria n.º 949-A/2006,Regras técnicas das instalações elétricas de baixa tensão,https://diariodarepublica.pt/dr/legislacao-consolidada/portaria/2006-70055500,,,,,,,,,,,,,,,,,,
Lei n.º 14/2015,Estabelece os requisitos de acesso e exercício da atividade das entidades e profissionais responsáveis pelas instalações elétricas,https://diariodarepublica.pt/dr/detalhe/lei/14-2015-66528823,,,,,,,,,,,,,,,,,,
Decreto-Lei nº 555/99,Regime jurídico da urbanização e edificação - RJUE,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875,,,,,,,,,,,,,,,,,,
Decreto-Lei nº 277/99,Gestão de PCB's,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-164798863,,,,,,,,,,,,,,,,,,
Despacho nº 1618/2022 de 9 de fevereiro de 2022,Qualidade do Ar no Interior dos Edifícios,https://diariodarepublica.pt/dr/detalhe/despacho/1618-2022-178882450,,,,,,,,,,,,,,,,,,
Decreto-Lei nº 53/2023 de 5 de julho de 2023,Agenda do Trabalho Digno,https://diariodarepublica.pt/dr/detalhe/decreto-lei/53-2023-215210816,,,,,,,,,,,,,,,,,,
Decreto-Lei n.º 306/2007,Regime da qualidade da água destinada ao consumo humano,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/2007-114324026,,,,,,,,,,,,,,,,,,
"Decreto-Lei nº 69/2023, de 21 de agosto de 2023",Qualidade da água destinada ao consumo humano,https://diariodarepublica.pt/dr/detalhe/decreto-lei/69-2023-220113533,,,,,,,,,,,,,,,,,,
"Portaria nº 254/2023, de 4 de agosto de 2023",Radioatividade,https://diariodarepublica.pt/dr/detalhe/portaria/254-2023-216714709,,,,,,,,,,,,,,,,,,
"Portaria nº 283/2023, de 18 de setembro de 2023",Transporte de Mercadorias Perigosas,https://diariodarepublica.pt/dr/detalhe/portaria/283-2023-221691631,,,,,,,,,,,,,,,,,,
Decreto-Lei nº 108/2018,Radioatividade,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/2018-117202808,,,,,,,,,,,,,,,,,,
Aviso n.º 500/2016,Regulamento de Serviço de Saneamento de Águas Residuais Urbanas,https://diariodarepublica.pt/dr/detalhe/aviso/500-2016-73184047,,,,,,,,,,,,,,,,,,
Aviso n.º 53/2016,Regulamento Municipal de Resíduos Sólidos e Limpeza Pública,https://diariodarepublica.pt/dr/detalhe/aviso/53-2016-73013268,,,,,,,,,,,,,,,,,,
Aviso n.º 15092/2015,Regulamento do Serviço de Abastecimento Público de Água,https://diariodarepublica.pt/dr/detalhe/aviso/15092-2015-72966556,,,,,,,,,,,,,,,,,,
Aviso n.º 12657/2007,Regulamento de Utilização das Redes de Percursos Ambientais,https://diariodarepublica.pt/dr/detalhe/aviso/12657-2007-3256091,,,,,,,,,,,,,,,,,,
